t_sec,x,y,yaw,u,v,r,applied_steer_ui,applied_steer_rad,applied_thrust,bow,target_steer_ui,target_thrust
1769450169.3572383,6.749960660934448,-4.995262145996094,-2.1744382449875523,3.4406051235920207e-15,-4.015118600977088e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450169.4073133,6.749960660934448,-4.995262145996094,-2.1744382449875523,3.4406051235920207e-15,-4.015118600977088e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450169.4572194,6.749960660934448,-4.995262145996094,-2.1744382449875523,1.6442536193473063e-15,-4.3452601829370916e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450169.5072265,6.749960660934448,-4.995262145996094,-2.1744382449875523,1.6442536193473063e-15,-4.3452601829370916e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450169.5571487,6.749960660934448,-4.995262145996094,-2.1744382449875523,-1.520496593894787e-16,-4.675392901795725e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450169.60728,6.749960660934448,-4.995262145996094,-2.1744382449875523,-1.520496593894787e-16,-4.675392901795725e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450169.6572003,6.749960660934448,-4.995262145996094,-2.1744382449875523,-1.9484111726983834e-15,-5.005536323266692e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450169.707249,6.749960660934448,-4.995262145996094,-2.1744382449875523,-1.9484111726983834e-15,-5.005536323266692e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450169.757189,6.749960660934448,-4.995262145996094,-2.1744382449875523,-3.0116268448973836e-15,-4.2724526475097016e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450169.8072684,6.749960660934448,-4.995262145996094,-2.1744382449875523,-3.0116268448973836e-15,-4.2724526475097016e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450169.8571746,6.749960660934448,-4.995262145996094,-2.1744382449875523,-3.3417566218500444e-15,-2.476165376139177e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450169.907249,6.749960660934448,-4.995262145996094,-2.1744382449875523,-3.3417566218500444e-15,-2.476165376139177e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450169.9572084,6.749960660934448,-4.995262145996094,-2.1744382449875523,-3.671810861820198e-15,-6.802891131952425e-16,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450170.0073147,6.749960660934448,-4.995262145996094,-2.1744382449875523,-3.671810861820198e-15,-6.802891131952425e-16,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450170.0572636,6.749960660934448,-4.995262145996094,-2.1744382449875523,-4.00201089506304e-15,1.1163804335366612e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450170.107235,6.749960660934448,-4.995262145996094,-2.1744382449875523,-4.00201089506304e-15,1.1163804335366612e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450170.1571486,6.749960660934448,-4.995262145996094,-2.1744382449875523,-4.332144672177527e-15,2.912689470407527e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450170.2072418,6.749960660934448,-4.995262145996094,-2.1744382449875523,-4.332144672177527e-15,2.912689470407527e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450170.2571278,6.749960660934448,-4.995262145996094,-2.1744382449875523,-3.599076051456868e-15,3.975883307785887e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450170.30722,6.749960660934448,-4.995262145996094,-2.1744382449875523,-3.599076051456868e-15,3.975883307785887e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450170.3571458,6.749960660934448,-4.995262145996094,-2.1744382449875523,-1.8030597834798408e-15,4.30596327851252e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
