t_sec,x,y,yaw,u,v,r,applied_steer_ui,applied_steer_rad,applied_thrust,bow,target_steer_ui,target_thrust
1769434189.63935,5.44120931625366,4.35174369812012,-2.66562740975923,0.256883975973327,0.041912734445331,-0.011922238392943,0,0,1200,0,0,1200
1769434189.68919,5.42222023010254,4.33694696426392,-2.6685246185663,0.253598607014933,0.041860328229082,-0.012834454652042,0,0,1200,0,0,1200
1769434189.73923,5.42222023010254,4.33694696426392,-2.6685246185663,0.253598607014933,0.041860328229082,-0.012834454652042,0,0,1200,0,0,1200
1769434189.78919,5.40339136123657,4.32306623458862,-2.66886235311856,0.250355190613851,0.041746301909343,-0.012935449438982,0,0,1200,0,0,1200
1769434189.83933,5.40339136123657,4.32306623458862,-2.66886235311856,0.250355190613851,0.041746301909343,-0.012935449438982,0,0,1200,0,0,1200
1769434189.88921,5.38455057144165,4.30854606628418,-2.67073099941221,0.247300461466025,0.04169063726609,-0.013243669588982,0,0,1200,0,0,1200
1769434189.93931,5.38455057144165,4.30854606628418,-2.67073099941221,0.247300461466025,0.04169063726609,-0.013243669588982,0,0,1200,0,0,1200
1769434189.98916,5.36515140533447,4.29346466064453,-2.6716152187325,0.244799248506658,0.041819666486115,-0.013126295068664,0,0,1200,0,0,1200
1769434190.0394,5.36515140533447,4.29346466064453,-2.6716152187325,0.244799248506658,0.041819666486115,-0.013126295068664,0,0,1200,0,0,1200
1769434190.08908,5.3443341255188,4.27718830108643,-2.67305820957971,0.243536500968701,0.042283424962565,-0.013056611615872,0,0,1200,0,0,1200
1769434190.13932,5.3443341255188,4.27718830108643,-2.67305820957971,0.243536500968701,0.042283424962565,-0.013056611615872,0,0,1200,0,0,1200
1769434190.18929,5.32169485092163,4.26075029373169,-2.67223535076074,0.2441064932817,0.042841480782571,-0.011360420829185,0,0,1200,0,0,1200
1769434190.23926,5.32169485092163,4.26075029373169,-2.67223535076074,0.2441064932817,0.042841480782571,-0.011360420829185,0,0,1200,0,0,1200
1769434190.28931,5.29753017425537,4.24300718307495,-2.67016246285905,0.246964613918821,0.043503761588145,-0.0074747128969,0,0,1200,0,0,1200
1769434190.33937,5.29753017425537,4.24300718307495,-2.67016246285905,0.246964613918821,0.043503761588145,-0.0074747128969,0,0,1200,0,0,1200
1769434190.38919,5.27217292785645,4.22412538528442,-2.67006998354609,0.252219372301403,0.044377988917513,-0.004055442333495,0,0,1200,0,0,1200
1769434190.43934,5.27217292785645,4.22412538528442,-2.67006998354609,0.252219372301403,0.044377988917513,-0.004055442333495,1000,0.05235987755983,1200,0,1000,1200
1769434190.48923,5.24614763259888,4.20380830764771,-2.67078186790485,0.2596276483573,0.045745250329603,-0.002453203255335,2000,0.10471975511966,1200,0,2000,1200
1769434190.5392,5.24614763259888,4.20380830764771,-2.67078186790485,0.2596276483573,0.045745250329603,-0.002453203255335,2000,0.10471975511966,1200,0,2000,1200
1769434190.58921,5.21894359588623,4.18297147750855,-2.67011111636474,0.268793215087567,0.047544613228931,-0.001266182095702,3000,0.15707963267949,1200,0,3000,1200
1769434190.63932,5.21894359588623,4.18297147750855,-2.67011111636474,0.268793215087567,0.047544613228931,-0.001266182095702,3000,0.15707963267949,1200,0,3000,1200
